編號,提出單位,提出建議,題庫方向,中文問題,中文答案,English Question,English Answer,問題說明
11,,,動物資訊,臺灣梅花鹿都吃甚麼,臺灣梅花鹿是草食性，主要吃樹葉、嫩芽和青草。（以上資料來自：官網動物圖鑑）,What does the Formosan Sika Deer eat?,"Verified diet of the Formosan Sika Deer :
- Herbivorous.
- Eats leaves, tender shoots, and grasses.
(Source: Official zoo animal guide)",
12,,,動物資訊,藍腹鷴是如何繁殖的?,"藍腹鷴的繁殖重點如下：

築巢於地面，一夫多妻制
每窩產3～8顆蛋，由雌鳥孵，約25天孵化
雄鳥求偶時會不停點頭、側身展示背上炫麗羽毛，繞著雌鳥跳求偶舞 （以上資料來自：官網動物圖鑑／POI數據",How does the Swinhoe’s Pheasant reproduce?,"Key points on Swinhoe’s Pheasant reproduction:

Nests on the ground; each clutch has 3–8 eggs.
The female incubates; chicks hatch in about 25 days.
Polygynous mating; males are strongly territorial. ",
13,,,動物資訊,為何我看不到動物?,"常見原因有這些：

很多動物是夜行性，白天愛躲在陰影或樹上休息
像石虎、雲豹天性敏感，喜歡藏在隱密處觀察
天氣炎熱時，動物會待在遮蔽處降溫
小建議：放慢腳步、輕聲安靜，多觀察角落與高處；午後到傍晚較有機會看到活動。（以上資料來自：POI數據）",Why can’t I see any animals?,"Common reasons you might not see animals:

- Many species rest or hide during the day; nocturnal and shy animals (e.g., Leopard Cat, Clouded Leopard) are less visible.
- They may be in shelters, high perches, or behind vegetation.
- Animals are often more active in the late afternoon.

The zoo designs exhibits to respect animal needs while improving visibility. (Source: Zoo FAQ)",
14,,,動物資訊,領角鴞是日行性還是夜行性動物?,領角鴞屬於夜行性動物，主要在夜間活動、覓食。 （以上資料來自：官網動物圖鑑）,Is the Collared Scops Owl diurnal or nocturnal?,Nocturnal. Collared Scops Owls rest on branches by day and become active at night to hunt. (Source: Taipei Zoo official animal guide),
15,,,動物資訊,臺灣海拔最低、生存環境最接近人類的貓頭鷹是哪一種？,是領角鴞。牠棲息於低海拔闊葉林，分布海拔最低，生活環境也最接近人類，甚至會在公園或住家附近築巢。（以上資料來自：官網動物圖鑑）,Which owl species in Taiwan lives at the lowest altitude and in the environment closest to humans?,"Collared Scops Owl. It inhabits low-altitude broadleaf forests in Taiwan and lives closest to human environments, sometimes nesting in parks or near homes. (Source: Taipei Zoo official animal guide)",
16,動物組,新增山羌、鼬獾公十五種物種。,動物資訊,請問臺灣動物區有哪些動物？,臺灣動物區現在有臺灣梅花鹿、臺灣野豬、藍腹鷳、食蛇龜、領角鴞、雲豹、石虎、亞洲黑熊、歐亞水獺、臺灣野山羊、臺灣獼猴、白鼻心、中華穿山甲、臺灣山羌、鼬獾等十五個動物。,What animals can be found in the Taiwan Animal Area?,"Animals currently listed for the Taiwan Animal Area include:
- Formosan Sika Deer, Formosan Wild Boar, Swinhoe’s Pheasant, Yellow-margined Box Turtle, Collared Scops Owl,  Clouded Leopard, Leopard Cat, Asian Black Bear, Eurasian Otter
, Formosan Serow, Formosan Rock Macaque, Formosan Gem-faced Civet, Chinese Pangolin",
17,,,動物資訊,藍腹鷴怎麼吃東西的？,牠會用腳爪把地上的落葉刨開，再低頭撿食找到的食物；食物包含蚯蚓、其他無脊椎動物，以及白蟻、蝗蟲等昆蟲，也會啄食漿果、花芽和嫩葉。（以上資料來自：官網動物圖鑑／POI數據）,How does the Swinhoe’s Pheasant find and eat its food?,"Swinhoe’s Pheasant is omnivorous and forages on the forest floor:
- Uses its feet to scratch leaf litter and uncover food
- Picks up worms and other invertebrates
- Also eats plant matter such as seeds, fruits/berries, buds, and young leaves.",
18,,,動物資訊,白鼻心爬樹高手嗎？,是的。白鼻心是臺灣食肉目中數一數二的爬樹高手，腳掌構造與可收放的勾爪讓牠能在樹枝、細藤間自如行走與攀爬。（以上資料來自：官網動物圖鑑）,Is the Formosan Gem-faced Civet good at climbing?,Yes. The Formosan Gem-faced Civet is arboreal and excellent at climbing; exhibits use standing trees and hemp ropes to encourage its climbing behavior. (Source: Taipei Zoo exhibit panels/animal guide),
19,,,動物資訊,藍腹鷴與帝雉有什麼不同,"藍腹鷴與帝雉的主要差異如下（皆為臺灣特有種、近危，屬保育類）：

雄鳥外觀 
•藍腹鷴：肩羽紫紅、頭頂有白毛、上背有白羽；尾羽較寬，部分全白。
•帝雉：頭與背無白羽；尾細長呈尖形，具白色橫帶；腳為深灰色。

雌鳥外觀 
•藍腹鷴：褐黑為主，夾土黃色三角紋；紅色腳。
•帝雉：褐黑為主，夾短白紋。

棲地與分布 
•藍腹鷴：中低海拔（約300–2000公尺）闊葉或混生林。
•帝雉：較高海拔（約1800–3500公尺）針葉林與草原混生地。 （以上資料來自：園區動物比較資料、官網動物圖鑑、POI數據）",What are the differences between the Swinhoe’s Pheasant and the Mikado Pheasant?,"The primary differences between the Swinhoe’s Pheasant and the Mikado Pheasant are as follows (both are endemic to Taiwan, near threatened, and classified as protected species):

Male Appearance 
•Swinhoe’s Pheasant : Crimson-purple shoulder feathers, white crest on crown, white upper back feathers; tail feathers are broader, partially or entirely white.
•Mikado Pheasant: No white feathers on head or back; tail slender and pointed with white cross-bands; legs dark gray.

Female Appearance 
•Swinhoe’s Pheasant : Primarily brownish-black with earthy yellow triangular markings; red legs.
•Mikado Pheasant: Primarily brownish-black with short white markings.

Habitat and Distribution 
•Swinhoe’s Pheasant : Low to mid-elevations (approx. 300–2000 meters) in broadleaf or mixed forests.
•Mikado Pheasant: Higher elevations (approx. 1800–3500 meters) in mixed coniferous forests and grasslands.",
20,動物組,,動物資訊,為什麼我在欄舍看不到黑熊?,"黑熊有時會待在遮蔭洞、後場或室內欄舍休息，特別是炎熱時段，可能暫時看不見。園方也會視需要開放室內外自由進出，建議：

先停留安靜觀察幾分鐘
留意現場「動物自由進出／暫停展示」告示
可向附近工作人員詢問當下是否在室內休息 （以上資料來自：POI數據）",Why can't I see the Asian Black Bear?,"It’s normal not to see the bear at times. It may be resting in a shaded den, the off-exhibit area, or the indoor enclosure, especially during hot periods. Tips:

Pause and watch quietly for a few minutes
Look for signs like “Animal free access / Exhibit paused”
Ask nearby staff if the bear is resting indoors (Source: On-site exhibit panel)",
21,推廣組,學名斜體字,動物資訊,這個區域有貓熊嗎?,是的，臺北市立動物園有大貓熊館，您可以在那裡看到可愛的貓熊。館內有專屬的貓熊展示，讓您近距離觀賞牠們的生活。希望您能享受這次的參觀！,Are there Giant Panda in this area?,"Giant Pandas are exhibited at the Giant Panda House (Shin Kong Special Exhibit). If you’re asking about your current spot, could you tell me which exhibit or zone you’re near? Then I can confirm whether pandas are here or guide you to the right place.",
22,,,動物資訊,請問臺灣獼猴算是瀕危動物嗎?,臺灣獼猴目前被列為無危（Least Concern）物種，並不算瀕危動物。牠們在臺灣的分布相對廣泛，生活在多種環境中。若您有其他問題，隨時可以詢問！,Is the Formosan Rock Macaque an endangered species?,No. The Formosan Rock Macaque is listed as Least Concern (LC) on the IUCN Red List.（Source: Taipei Zoo official animal guide）,
23,推廣組,學名斜體字,動物資訊,臺灣有幾種穿山甲?,臺灣原生的穿山甲只有1種：中華穿山甲，保育等級為極危（CR）。（以上資料來自：實體展板）,how many species of pangolins are there in Taiwan,"There is only 1 pangolin species native to Taiwan: the Chinese Pangolin (Critically Endangered, CR). ",
24,,,動物資訊,石虎現在面臨什麼威脅,"石虎目前主要威脅：

棲地開發與破碎化，食物與棲所減少
道路路殺事件
非法獵捕
遊蕩/流浪犬貓攻擊與疾病傳播 （以上資料來自：官網動物圖鑑與實體展板）",What threats are currently faced by the Leopard Cat?,"Verified threats to Leopard Cats:

- Habitat loss and fragmentation from extensive development
- Vehicle collisions (roadkill)
- Hunting and trapping
- Attacks and disease transmission from stray dogs and cats
- Human–wildlife conflict (e.g., entering chicken coops to hunt birds)

(Sources: Zoo POI data and signage)",
25,,,動物資訊,現在在臺灣何處還有可能發現石虎的行蹤,"依園方資料，石虎現今僅在苗栗至臺南之間的山區仍有行蹤；過去曾廣泛分布於全臺低海拔山區。若想近距離觀察，園內「臺灣動物區」有展示。

臺灣動物區（石虎） 👉 點我導航 （以上資料來自：POI數據、官網動物圖鑑）",Where in Taiwan can the Leopard Cat still be found today?,"According to verified zoo data, Leopard Cats in Taiwan are now mainly found in the mountainous areas between Miaoli and Tainan, rather than across the whole island as in the past. (Source: Zoo POI data)",
26,"動物組
推廣組","野外已滅絕
學名斜體字",動物資訊,雲豹在臺灣算是瀕危動物嗎?,"
在臺灣，臺灣雲豹已在野外滅絕；若問雲豹物種整體保育等級，屬於易危（VU），並非「瀕危」。因此在臺灣情境下不算瀕危，而是已無野外族群。（以上資料來自：官網動物圖鑑、實體展板）",Is the Formosan Clouded Leopard considered an endangered animal in Taiwan?,"In Taiwan, the Formosan Clouded Leopard is extinct in the wild. As a species overall, it is classified as Vulnerable (VU), not “Endangered.” So in Taiwan it’s not considered endangered, but rather has no remaining wild population. ",
27,,,動物資訊,石虎有什麼習性,"石虎的習性重點：

夜行性，常在傍晚後活動，白天多躲在樹洞或岩縫休息。
多獨居，個性機敏，善爬樹也會游泳。
肉食性，主要獵食小型動物。 （以上資料來自：官網動物圖鑑）",What are the behavioral characteristics of the Leopard Cat?,"Verified behavioral characteristics of the Leopard Cat:

- Mostly nocturnal; most active after sunset
- Solitary lifestyle; individuals usually live and hunt alone
- Daytime shelters: tree hollows or rock crevices
- Skilled swimmer and climber
- Carnivorous hunter of small animals",
28,,,動物資訊,在野外遇到臺灣黑熊應該怎麼辦？,"重點做法如下：

保持冷靜，面向牠緩慢後退，不要奔跑與背對
壓低音量穩定說話、雙手微張讓自己看起來較大
不餵食、不丟擲物品、不拍打驚嚇
若距離太近出現警戒（呻吟、拍地、虛衝），停下來慢慢退離掩蔽處
別爬樹或跳入水中，黑熊會爬樹也會游泳 （以上資料來自：實體展板）",What should you do if you encounter a Asian Black Bear in the wild?,"Key safety tips (verified zoo info):

- Don’t climb trees, go into water, or play dead—bears can climb and swim, and “playing dead” isn’t effective.
- Stay calm, avoid eye contact, speak softly, and back away slowly; leave the area promptly and quietly.
- Do not run, approach, feed, or try to photograph at close range.
- Keep food sealed and scents minimized to avoid attracting bears.

If cubs are present, give extra space and retreat immediately.",
29,,,動物資訊,臺灣黑熊在野外還有多少數量？,目前估計臺灣黑熊在野外約剩下200～600隻，族群稀少且分布零碎，需要長期監測與棲地保護。（以上資料來自：實體展板）,How many Asian Black Bears remain in the wild?,"Based on verified zoo signage, the estimated number of Asian Black Bears in the wild is about 200–600 individuals. ",
30,,,動物資訊,臺灣野豬一胎生幾隻?,臺灣野豬通常一胎可生4～6隻幼豬；具社會性，母豬產前會築豬窩保護幼豬。（以上資料來自：官網動物圖鑑／實體展板）,How many piglets does a Formosan Wild Boar usually give birth to at a time?,Formosan Wild Boars usually give birth to 3–6 piglets per litter; litters of around 4 are common. The sow makes a nest beforehand to keep piglets warm.,
31,,,動物資訊,歐亞水獺是臺灣原生種嗎?,歐亞水獺屬臺灣原生紀錄種，但本島族群已消失，現僅金門仍有野外小族群活動；園內展區亦以此進行保育與教育展示。（以上資料來自：官網動物圖鑑）,Is the Eurasian Otter a native species of Taiwan?,"Yes. The Eurasian Otter is a native species recorded in Taiwan, but the mainland population has disappeared; only a small wild population remains on Kinmen Island. The zoo exhibits it for conservation and education. ",
32,動物組,水果修正為果實,動物資訊,平常為何在平地也看到白鼻心?,白鼻心又叫果子狸，善爬樹、雜食且偏愛果實。近年因環境保護與與野生動物共存意識提升，牠們回到原棲地或族群增加，與人類活動範圍更常重疊，所以在平地與社區也更常被看見。（以上資料來自：輿情）,Why are Formosan Gem-faced Civets sometimes seen in lowland areas or near human communities?,"The Formosan Gem-faced Civets  also known as the fruit civet, is an excellent tree climber with an omnivorous diet that favors fruits. In recent years, due to heightened environmental protection and awareness of coexisting with wildlife, these animals have returned to their original habitats or seen their populations grow. Their ranges increasingly overlap with human activity, making them more frequently spotted in lowland areas and communities. (Source: Public Opinion)",
33,,,動物資訊,領角鴞是瀕危動物嗎?,領角鴞目前不是瀕危物種，IUCN 等級為無危（LC）。但仍受棲地與人為干擾影響，觀察時請保持距離、避免驚擾。（以上資料來自：官網動物圖鑑）,Is the Collared Scops Owl an endangered species?,No. The Collared Scops Owl is listed as Least Concern (LC) on the IUCN Red List. (Source: Taipei Zoo official animal guide),
34,,,動物資訊,臺灣黑熊活動範圍有多大？,臺灣黑熊的活動範圍很大，單一個體一年可超過100平方公里，有些甚至可能達到200平方公里，顯示牠們仰賴大片連續森林。（以上資料來自：實體展板與官網動物圖鑑）,How large is the home range of the Asian Black Bear?,"Verified info from the zoo:

- A single Asian Black Bear’s annual home range can exceed 100 km²; some individuals may reach around 200 km².
- Another way to picture it: over 100 km² is roughly equivalent to 10,000 football fields.

(Source: Zoo exhibit panels and animal guide)",
35,,,動物資訊,臺灣黑熊會冬眠嗎？,臺灣黑熊不會真正冬眠，但冬季活動會明顯減少；雌熊多在冬天躲進隱密處產下1–2隻幼熊。（以上資料來自：POI數據）,Do Asian Black Bears hibernate?,"Asian Black Bears do not hibernate. Their activity slows noticeably in winter, but they remain awake and active.",
36,,,動物資訊,臺灣黑熊的身體特徵,"臺灣黑熊的身體特徵重點：

頭體長約120–180公分，肩高約60–70公分，體重可達200公斤。
全身黑色粗毛，胸前有白色V字形斑紋。
下顎前端有一撮白色短毛，腳為蹠行型，像人類整個腳掌著地。 （以上資料來自：官網動物圖鑑、實體展板）",What are the physical characteristics of the Asian Black Bear?,"Verified physical characteristics of the Asian Black Bear:

- Body length: about 120–180 cm; tail 6–10 cm
- Shoulder height: about 60–70 cm; weight up to ~200 kg
- Coat: coarse black fur; a distinct white V-shaped chest mark
- Head/face: a small tuft of short white hair at the front of the lower jaw
- Gait: plantigrade (walks with soles flat on the ground, like humans)

(Source: Zoo animal guide and exhibit panels)",
37,動物組,食蛇龜不吃蛇,動物資訊,食蛇龜吃蛇嗎?,不會，食蛇龜主要吃果實、節肢動物、環節動物與軟體動物。,Does the Yellow-margined Box Turtle eat snakes?,"No. Yellow-margined Box Turtle does not eat snakes.
While being attacked by snake, theyhide in the shell, making them look likeeating snake.",
38,,,動物資訊,食蛇龜是日行性動物嗎？,是的，食蛇龜屬日行性龜類。常活動於潮濕、靠近水源的森林或灌叢，但很少下水；以植物與無脊椎動物為主食。（以上資料來自：官網動物圖鑑）,Is the Yellow-margined Box Turtle a diurnal animal?,"Yes. Verified info indicates the Yellow-margined Box Turtle is diurnal—active during the day in moist forests near water, and it rarely goes into the water. (Source: Official zoo animal guide)",
39,,,動物資訊,食蛇龜是水龜還是陸龜?,食蛇龜屬於陸棲龜。牠多生活在低海拔、潮濕的森林底層或農耕地邊緣，平常很少下水活動。（以上資料來自：官網動物圖鑑）,Is the Yellow-margined Box Turtle an aquatic or terrestrial species?,"Terrestrial. Verified info shows the Yellow-margined Box Turtle lives on land in moist forests near water sources, and it rarely goes into the water. (Source: Official zoo animal guide)",
40,,,動物資訊,食蛇龜的龜殼有什麼特點？,"食蛇龜的龜殼特點如下：

背甲高聳呈圓拱，中央有一條明顯稜脊。
胸盾與腹盾以韌帶連接，可將龜殼閉合保護身體。
配色：背甲黑褐，稜脊與邊緣偏黃；腹甲為暗褐或黑色。 （以上資料來自：官網動物圖鑑）",What are the characteristics of the Yellow-margined Box Turtle’s shell?,"Verified characteristics of the Yellow-margined Box Turtle’s shell:

Carapace: high, dome-shaped with a distinct central keel; black-brown with yellow margins.
Plastron: dark brown to black.
Closure: plastron joins to the carapace by ligaments, allowing the shell to close tightly for protection.
(Source: Official zoo animal guide)",
41,,,動物資訊,雲豹的特徵,"雲豹的外觀特徵重點：

身上有大塊雲狀斑紋，能打破身形輪廓，提升偽裝。
腹部與四肢有不規則褐色斑紋。
尾巴有約11～14個黑色環帶，尾長有助於樹上平衡。
體型中等，四肢較短、善攀樹，常伏樹上埋伏獵物。 （以上資料來自：官網動物圖鑑、POI數據）",What are the physical characteristics of the Clouded Leopard?,"Verified physical characteristics of the Clouded Leopard:

- Coat: large, cloud-shaped dark blotches; sides of neck and body with big cloud-like spots; irregular brown markings on belly and limbs.
- Tail: very long with about 11–14 black rings.
- Build: short legs and long tail adapted for climbing; excellent arboreal agility.
- Behavior-linked traits: camouflage pattern helps break body outline and blend into forest.

(Source: Official zoo animal guide / exhibit data)",
42,,,動物資訊,雲豹如何狩獵,"雲豹主要在夜間狩獵，常見方式有：

樹上伏擊：躲在高處，等獵物經過再俯衝撲擊。
地面突襲：在地面潛伏接近後迅速撲追。
偽裝接近：利用雲狀斑紋融入環境，降低被發現機率。 獵物包含鳥類、靈長類與小型哺乳動物。 （以上資料來自：官網動物圖鑑、POI數據）",How does the Clouded Leopard hunt?,"Verified info on Clouded Leopard hunting:

- Activity pattern: Primarily nocturnal; most active after sunset.
- Hunting style: Ambush predator—jumps down from trees onto passing prey or pursues prey on the ground.
- Camouflage: Cloud-like blotches break up its outline, helping it approach unseen.
- Climbing aid: Short legs and long tail enhance arboreal maneuvers for tree-based ambushes.

(Source: Official zoo guide/exhibit data)",
43,,,動物資訊,臺灣山羌遇到危險會怎麼處理？,臺灣山羌遇危險時，會先靜止、躲藏觀察；若天敵接近，會豎起短尾露出白毛並迅速逃竄，同時發出像狗吠的短促高音警戒叫聲。（以上資料來自：官網動物圖鑑）,How does the Formosan Reeve's Muntjac react when facing danger?,"Verified behavior when facing danger (Formosan Reeve’s Muntjac):

- First freezes or hides to observe.
- If a threat approaches, it raises its short tail to expose the white underside and flees rapidly.
- Emits a series of short, high-pitched, bark-like calls to warn others.

(Source: Official zoo animal guide)",動物名稱大小寫需統一
44,,,動物資訊,臺灣動物區以水果為主食的動物有哪些?,"以下為館方已核驗、以水果為主食或特別愛吃水果的動物：

白鼻心（俗稱果子狸）：雜食，特別喜歡多汁果實。（以上資料來自：官網動物圖鑑）",Which animals in the Taiwan Animal Area feed on fruits?,"Here are animals in the Taiwan Animal Area with verified fruit in their diet:

Formosan Gem-faced Civet: omnivorous; especially likes juicy fruits. (Source: Zoo animal guide)
Formosan Ferret-badger: omnivorous; includes fruits. (Source: POI data)
If you’d like, tell me another animal and I’ll check its diet.",
45,,,動物資訊,臺灣山羌雄雌的角有什麼不同,"根據園內展板資料，臺灣山羌公母角的差異如下：

雄性：有實心角，通常有小分岔，每年會脫落再生；並具明顯上犬齒。
雌性：不長角。 （以上資料來自：實體展板）",What are the differences between male and female Formosan Reeve's Muntjacs in terms of their antlers?,"Verified differences in antlers:

- Males: Have simple, small forked antlers with a slight protrusion at the antler base; antlers are shed and regrown annually.
- Females: Do not grow antlers; only bony ridges on the head.",
46,,,動物資訊,白鼻心是爬樹高手嗎,是喔！白鼻心是爬樹高手，樹棲又地棲，特殊腳掌能在樹枝與細藤上輕鬆行走；展示場也設立木與麻繩強化攀爬。（以上資料來自：官網動物圖鑑／實體展板）,Is the Formosan Gem-faced Civet good at climbing?,Yes. The Formosan Gem-faced Civet is an excellent climber—arboreal as well as terrestrial—with special paws that let it move easily along branches and ropes. Exhibits use standing logs and hemp ropes to encourage climbing behaviors. (Source: Official zoo animal guide / Exhibit signage),
47,,,動物資訊,白鼻心是夜行性動物嗎?,是的。白鼻心為夜行性、獨居動物，白天多在隱蔽處休息，晚上外出覓食，常在樹上與地面活動。（以上資料來自：官網動物圖鑑）,Is the Formosan Gem-faced Civet a nocturnal animal?,Yes. The Formosan Gem-faced Civet is nocturnal and usually forages and is active at night. It’s a solitary animal that rests during the day. (Source: Zoo animal guide and signage),
48,,,動物資訊,什麼動物是臺灣最大型的草食野生動物,臺灣水鹿是臺灣最大型的草食野生動物。（以上資料來自：官網動物圖鑑）,What is the largest herbivorous wild animal in Taiwan?,Formosan Sambar. Verified info identifies it as Taiwan’s largest herbivorous wild animal. (Source: Official zoo animal guide),
49,推廣組,STT語音辨識「領角鴞」為「菱角鴞」,動物資訊,領角鴞的頭部可以轉幾度嗎?,約可旋轉270度！這讓牠能配合敏銳視覺，準確判位並獵捕獵物。 （以上資料來自：官網動物圖鑑）,How many degrees can the Collared Scops Owl rotate its head?,"About 270 degrees. This wide head rotation, together with sharp vision, helps it accurately locate prey. (Source: Official zoo animal guide)",
