id,wav_path,speaker_type,noise_level,ref_transcript,canonical_query_id
34,audio/q34_v1.wav,azure_tts,quiet,臺灣黑熊活動範圍有多大？,34
35,audio/q35_v1.wav,azure_tts,quiet,臺灣黑熊會冬眠嗎？,35
36,audio/q36_v1.wav,azure_tts,quiet,臺灣黑熊的身體特徵,36
37,audio/q37_v1.wav,azure_tts,quiet,食蛇龜吃蛇嗎?,37
38,audio/q38_v1.wav,azure_tts,quiet,食蛇龜是日行性動物嗎？,38
39,audio/q39_v1.wav,azure_tts,quiet,食蛇龜是水龜還是陸龜?,39
40,audio/q40_v1.wav,azure_tts,quiet,食蛇龜的龜殼有什麼特點？,40
41,audio/q41_v1.wav,azure_tts,quiet,雲豹的特徵,41
42,audio/q42_v1.wav,azure_tts,quiet,雲豹如何狩獵,42
43,audio/q43_v1.wav,azure_tts,quiet,臺灣山羌遇到危險會怎麼處理？,43
44,audio/q44_v1.wav,azure_tts,quiet,臺灣動物區以水果為主食的動物有哪些?,44
45,audio/q45_v1.wav,azure_tts,quiet,臺灣山羌雄雌的角有什麼不同,45
46,audio/q46_v1.wav,azure_tts,quiet,白鼻心是爬樹高手嗎,46
47,audio/q47_v1.wav,azure_tts,quiet,白鼻心是夜行性動物嗎?,47
48,audio/q48_v1.wav,azure_tts,quiet,什麼動物是臺灣最大型的草食野生動物,48
49,audio/q49_v1.wav,azure_tts,quiet,領角鴞的頭部可以轉幾度嗎?,49
50,audio/q50_v1.wav,azure_tts,quiet,領角鴞的視力如何?,50
51,audio/q51_v1.wav,azure_tts,quiet,歐亞水獺都吃什麼?,51
52,audio/q52_v1.wav,azure_tts,quiet,臺灣水鹿為何叫四目鹿,52
53,audio/q53_v1.wav,azure_tts,quiet,臺灣梅花鹿有什麼特徵,53
54,audio/q54_v1.wav,azure_tts,quiet,臺灣梅花鹿的角怎麼區分？,54
55,audio/q55_v1.wav,azure_tts,quiet,臺灣梅花鹿的毛色會變嗎？,55
56,audio/q56_v1.wav,azure_tts,quiet,藍腹鷴怎麼求偶,56
57,audio/q57_v1.wav,azure_tts,quiet,臺灣野山羊怎麼能走在山坡上？,57
58,audio/q58_v1.wav,azure_tts,quiet,領角鴞和藍腹鷴牠們都是卵生動物嗎?,58
59,audio/q59_v1.wav,azure_tts,quiet,臺灣野山羊生長在什麼環境,59
60,audio/q60_v1.wav,azure_tts,quiet,歐亞水獺都住在什麼環境？,60
61,audio/q61_v1.wav,azure_tts,quiet,歐亞水獺會游泳嗎?,61
62,audio/q62_v1.wav,azure_tts,quiet,歐亞水獺、小爪水獺、海獺、河狸的差異是?,62
63,audio/q63_v1.wav,azure_tts,quiet,臺灣還有純種的臺灣野豬嗎？,63
64,audio/q64_v1.wav,azure_tts,quiet,臺灣梅花鹿目前是保育類動物嗎?,64
65,audio/q65_v1.wav,azure_tts,quiet,園方如何保持臺灣野豬的天性？,65
66,audio/q66_v1.wav,azure_tts,quiet,臺灣獼猴身體特徵,66
67,audio/q67_v1.wav,azure_tts,quiet,臺灣野豬的獠牙有什麼功能?,67
68,audio/q68_v1.wav,azure_tts,quiet,臺灣野豬的母豬也會有獠牙嗎?,68
69,audio/q69_v1.wav,azure_tts,quiet,為何藍腹鷴一個欄舍只有一隻雄鳥,69
70,audio/q70_v1.wav,azure_tts,quiet,那臺灣獼猴是母系還是父系社會?,70
71,audio/q71_v1.wav,azure_tts,quiet,動物園有麥當勞嗎?,71
72,audio/q72_v1.wav,azure_tts,quiet,請問臺灣動物區廁所在哪裡?,72
73,audio/q73_v1.wav,azure_tts,quiet,請問票價,73
74,audio/q74_v1.wav,azure_tts,quiet,請問推薦路線,74
75,audio/q75_v1.wav,azure_tts,quiet,臺灣動物區怎麼走,75
76,audio/q76_v1.wav,azure_tts,quiet,我可以帶寵物去動物園嗎?,76
77,audio/q77_v1.wav,azure_tts,quiet,推娃娃車搭乘遊客列車是否可使用車尾無障礙設施？,77
78,audio/q78_v1.wav,azure_tts,quiet,請問有提供行李寄放嗎?,78
79,audio/q79_v1.wav,azure_tts,quiet,請問有吸菸區嗎?,79
80,audio/q80_v1.wav,azure_tts,quiet,你們提供嬰兒車租借服務嗎？,80
81,audio/q81_v1.wav,azure_tts,quiet,請問遊客中心在哪?,81
82,audio/q82_v1.wav,azure_tts,quiet,動物園開放時間是?,82
83,audio/q83_v1.wav,azure_tts,quiet,臺灣動物區有販賣食物嗎?,83
84,audio/q84_v1.wav,azure_tts,quiet,動物園週一休息嗎?,84
85,audio/q85_v1.wav,azure_tts,quiet,請問東西不見怎麼辦?,85
86,audio/q86_v1.wav,azure_tts,quiet,請問哪裡有飲水機?,86
87,audio/q87_v1.wav,azure_tts,quiet,哪裡有廁所?,87
88,audio/q88_v1.wav,azure_tts,quiet,動物園內有提供遊客緊急電話服務嗎？位置在哪？,88
89,audio/q89_v1.wav,azure_tts,quiet,請問有接駁車資訊嗎?,89
90,audio/q90_v1.wav,azure_tts,quiet,請問有捷運相關資訊嗎?,90
91,audio/q91_v1.wav,azure_tts,quiet,請問有提供素食或特殊飲食需求的餐點嗎?,91
92,audio/q92_v1.wav,azure_tts,quiet,請問有園區內有提款機嗎?,92
93,audio/q93_v1.wav,azure_tts,quiet,請問園區內有急救站或醫護人員嗎?,93
94,audio/q94_v1.wav,azure_tts,quiet,請問園區內有哪些特色商品或紀念品可以購買?,94
95,audio/q95_v1.wav,azure_tts,quiet,有問園區內有其他餐廳或咖啡廳的選擇嗎?,95
96,audio/q96_v1.wav,azure_tts,quiet,請問有提供輪椅租借服務嗎?,96
97,audio/q97_v1.wav,azure_tts,quiet,請問有提供園區導覽服務嗎?,97
98,audio/q98_v1.wav,azure_tts,quiet,請問園區內有提供無障礙設施嗎?,98
99,audio/q99_v1.wav,azure_tts,quiet,動物園內哺乳室位置？有提供嬰幼兒特別服務嗎？,99
100,audio/q100_v1.wav,azure_tts,quiet,請問有提供嬰幼兒推車租借服務嗎?,100
101,audio/q101_v1.wav,azure_tts,quiet,我家附近的山區發現了一隻亂跑的臺灣山羌，不知道是不是從動物園展場區內跑出來的?,101
102,audio/q102_v1.wav,azure_tts,quiet,請問白鼻心的習性為何?,102
103,audio/q103_v1.wav,azure_tts,quiet,請問如何避免白鼻心靠近住家？,103
104,audio/q104_v1.wav,azure_tts,quiet,動物園以前的活動有贈送印有動物圖樣的口罩，請問是否有直接購買的管道?,104
105,audio/q105_v1.wav,azure_tts,quiet,請問動物園繁殖的石虎會進行野放嗎?,105
106,audio/q106_v1.wav,azure_tts,quiet,為什麼動物園的穿山甲都在洞裡面？,106
107,audio/q107_v1.wav,azure_tts,quiet,為什麼石虎與雲豹在展場常常看不見？,107
108,audio/q108_v1.wav,azure_tts,quiet,臺灣黑熊站立時，是代表什麼情緒？,108
109,audio/q109_v1.wav,azure_tts,quiet,遊客模仿飼養員叫聲及模仿動作是否會影響黑熊？,109
110,audio/q110_v1.wav,azure_tts,quiet,請問2024年野生動物救傷的數量，前三名分別是什麼動物？,110
111,audio/q111_v1.wav,azure_tts,quiet,最多造成這些野生動物受傷的前三個原因是什麼？,111
112,audio/q112_v1.wav,azure_tts,quiet,請問穿山甲有手嗎？,112
113,audio/q113_v1.wav,azure_tts,quiet,在山區附近發現有穿山甲住在洞穴內，因為擔心牠有危險，請問動物園可以把牠帶回園區認養嗎？,113
114,audio/q114_v1.wav,azure_tts,quiet,請問熱帶雨林館（即穿山甲館）內青鸞等大鳥可以承受遊客超近距離的抗壓力嗎?,114
115,audio/q115_v1.wav,azure_tts,quiet,保育廊道內有貓頭鷹及穿山甲住在一起這樣可以嗎?,115
116,audio/q116_v1.wav,azure_tts,quiet,想詢問熱帶雨林區展覽的大食人花和樹上掛的蛇，都是真的嗎？,116
117,audio/q117_v1.wav,azure_tts,quiet,請問動物園的場館內禁止喝水嗎？,117
118,audio/q118_v1.wav,azure_tts,quiet,請問團體購票方式是什麼?,118
119,audio/q119_v1.wav,azure_tts,quiet,請問招募志工的相關資訊是什麼？,119
120,audio/q120_v1.wav,azure_tts,quiet,從哪裡可以知道動物停展的資訊？,120
121,audio/q121_v1.wav,azure_tts,quiet,請問園區內有沒有吸煙區？,121
122,audio/q122_v1.wav,azure_tts,quiet,請問哪裡有哺乳室？,122
123,audio/q123_v1.wav,azure_tts,quiet,在哪裡可以看到貓頭鷹？,123
124,audio/q124_v1.wav,azure_tts,quiet,如果我在園區內發生意外，請問如何申請理賠？,124
125,audio/q125_v1.wav,azure_tts,quiet,請問入園門票有提供哪些方式支付?,125
126,audio/q126_v1.wav,azure_tts,quiet,我使用自動販賣機已經依照操作步驟操作，但東西都沒出來，好像是故障了，請問可以找誰處理？,126
127,audio/q127_v1.wav,azure_tts,quiet,請問臺灣黑熊會不會跟人一樣也怕太熱?,127
128,audio/q128_v1.wav,azure_tts,quiet,請問天氣太熱時黑熊展場會如何處理?,128
129,audio/q129_v1.wav,azure_tts,quiet,請問在園內展場外面看到的野生獼猴、山羌、白鼻心等動物，是園內脫逃或飼養的嗎?,129
130,audio/q130_v1.wav,azure_tts,quiet,請問園內展示的雲豹是真正臺灣的雲豹嗎?,130
131,audio/q131_v1.wav,azure_tts,quiet,動物園飼養的黑熊容易產生刻板行為嗎？,131
132,audio/q132_v1.wav,azure_tts,quiet,如何降低黑熊產生刻板行為？,132
133,audio/q133_v1.wav,azure_tts,quiet,為什麼黑熊會一直反覆走來走去，牠是得了憂鬱症嗎?,133
134,audio/q134_v1.wav,azure_tts,quiet,為什麼在穿山甲展示場會看到領角鴞呢？,134
135,audio/q135_v1.wav,azure_tts,quiet,臺灣獼猴身上有些光禿禿的地方是在脫毛嗎？還是皮膚病?,135
136,audio/q136_v1.wav,azure_tts,quiet,我們家有飼養寵物，請問該寵物可以捐贈給動物園嗎?,136
137,audio/q137_v1.wav,azure_tts,quiet,請問動物園如何決定放展的動物呢?,137
